hours_worked_per_day,hours_sleep,hours_exercise_per_week,social_interactions_per_week,screen_time_per_day,has_meeting_overload,feels_purpose_at_work,work_on_weekends,stress_level,burnout_risk
9.993428306022466,8.599033154879002,1.149643450051237,5.0,10.825836410886028,0,1,0,4,0
8.723471397657631,7.886950524369153,2.210962658568964,,5.0547630354182145,0,1,0,1,0
10.295377076201385,6.589445554880261,0.9151601580000774,,9.929525358184613,1,0,0,3,1
12.046059712816051,5.529594833441639,1.8840769407219193,3.0,10.745244083719461,0,0,0,1,0
8.531693250553328,7.547334970420385,0.0,4.0,4.95961252742989,1,0,0,2,0
8.531726086101639,7.090228078132625,,2.0,3.36236348727362,0,1,0,5,0
12.158425631014783,7.842789830041598,2.5024109507244483,3.0,7.754902250429412,0,0,0,2,0
10.534869458305817,7.4527577025229546,0.8658227378636187,4.0,5.631481193082817,0,1,1,3,0
8.061051228130095,,3.81849133686481,2.0,11.671508047907505,0,1,1,2,0
10.08512008717193,5.6971471826591475,4.375140275253116,3.0,7.087018851249581,1,1,0,4,0
8.073164614375075,8.476091098451489,,2.0,4.994501479912052,1,1,0,1,0
8.068540492859487,6.796399407038599,0.9745504428675715,4.0,4.132101222470721,0,0,1,3,0
9.48392454313207,9.612891308937899,0.9617153004254035,1.0,9.724762397727076,0,1,0,4,0
5.173439510684404,5.466218272865648,0.6201937977822707,3.0,5.572040064789533,0,1,1,1,0
5.5501643349739345,9.103945704747874,4.158949683863497,5.0,7.109571998651071,1,1,1,4,0
7.875424941518054,6.796866175193972,2.112347722454393,2.0,9.389506862781202,1,1,0,2,0
6.974337759331153,,1.9709703173787785,4.0,5.789354120172924,1,1,1,3,0
,5.774171248918518,,,6.885177928149599,0,1,1,2,0
7.183951848957578,,3.7708360604184525,1.0,6.9585789754437,0,1,0,5,0
,7.136248919602875,,3.0,8.70831127879023,0,0,0,3,0
,7.284253232053249,2.6198652605326567,4.0,8.476860838775814,0,0,0,2,0
8.548447399026928,5.639449994092131,3.0547538759163833,7.0,6.449715671862929,0,0,0,3,0
9.135056409375848,6.463468111608526,5.2213171916773025,4.0,7.159122653741294,0,1,0,1,0
6.150503627573086,,0.0,6.0,6.070552471191279,0,0,0,3,0
7.911234550949635,,0.0,4.0,3.3059689827013883,1,0,0,3,0
9.221845179419732,7.154485504511048,2.86769908950739,,7.644002143495324,1,0,1,1,0
6.698012845155395,6.557005217252301,6.101022363021707,1.0,11.730479402082668,0,0,0,2,0
9.751396036691343,,,7.0,4.790702148272343,0,1,0,3,0
7.7987226201623905,7.4202769590956255,2.9193188305492517,4.0,5.0674257259932425,0,0,0,4,0
8.416612500413446,4.9658111522023916,1.5167276287359053,3.0,4.823180570890647,1,1,0,3,0
7.796586775541206,6.113935193864982,4.114245193274621,3.0,8.811479446807807,1,1,0,2,0
12.704556369017876,3.997123889183616,0.5529076005910627,3.0,8.1212136354911,1,1,0,1,0
8.973005550524132,7.098834683907919,,3.0,6.603655768958858,1,1,0,2,0
6.884578142088199,7.470793909554112,3.5109403183332537,1.0,,0,0,1,5,0
,5.775220306550939,4.62041981499776,1.0,7.230941979099811,0,1,1,3,0
6.5583127000579555,8.860980144935048,,3.0,3.0884446816604894,0,1,0,3,0
,4.661351505496488,3.284831934357534,0.0,,0,0,0,1,0
5.080659752240448,,1.4820727485850025,3.0,9.178810965219835,1,1,0,3,0
6.3436279022031385,,2.448851375616011,3.0,3.872002158415805,0,1,1,4,0
,,0.0,,3.168704307925841,0,0,0,4,0
10.476933159990821,9.025891537186803,,2.0,,0,0,1,2,0
9.34273656237994,5.81167360569659,,,,1,1,0,1,0
8.76870343522352,8.118021250146944,1.451823204130815,2.0,9.839869614859555,0,0,0,5,0
8.397792608821423,6.4422372957489396,2.804709744067444,4.0,,1,1,0,2,0
6.042956019265145,6.24105905008877,0.8551601352355989,4.0,6.595112957646681,0,1,1,1,0
7.5603115832105825,,4.742061334648943,1.0,,0,1,1,1,0
8.078722458080424,7.478484317620129,2.500414129836394,3.0,4.7900028581338985,0,1,0,2,0
11.11424445243783,4.135411764523626,2.481399357722771,3.0,7.331242858739114,1,0,0,2,0
9.687236579136922,8.714810524588843,1.8442105669741644,2.0,6.046276462939768,0,0,0,3,0
5.473919689274532,8.570137031221178,2.8103813677179583,2.0,3.698766391487421,1,1,0,5,0
9.648167938789591,,,3.0,7.843705186815997,0,1,1,4,0
8.229835439167367,7.093705300156113,0.7657395685781994,2.0,,0,0,1,3,0
7.646155999388083,7.2410452794241085,1.1837670218494867,3.0,6.60743792888823,1,1,1,1,0
10.223352577681736,,1.8925479424466707,2.0,3.9745976414646056,0,1,1,5,0
11.061999044991902,5.674542269231869,,1.0,10.978500919407011,0,0,0,5,1
10.862560238232398,5.492564948092923,0.8614842805570044,0.0,9.19178546596529,1,0,1,2,1
7.321564953554723,6.461668893512832,1.547558252910682,3.0,9.410389710429946,0,0,1,5,0
,8.259093528889046,4.248778361425455,4.0,6.236388243895795,1,1,0,5,0
9.662526862807129,,3.02512265800385,4.0,3.0,0,0,1,1,0
10.951090254244718,5.944078501870841,2.8871798227350887,3.0,11.882293456223778,0,1,0,3,0
,7.657548065972517,4.201795924335944,3.0,6.84725622998533,0,1,1,5,0
8.628682046672365,3.0,2.225256423201207,,5.128000509949866,1,1,0,2,0
,,3.2809296998577793,4.0,8.042003936207784,0,1,0,3,0
6.607586751838658,,2.2935564941350077,,,1,1,0,2,0
,5.956338587895302,3.030724698799257,5.0,6.942373609786334,1,1,0,5,0
,4.820495158060784,1.3344826847768358,,10.196437919848435,0,1,0,3,0
8.855979756839332,4.5579777864186415,0.0,4.0,9.70749984629217,0,0,0,5,1
11.007065795784047,8.241240181067779,2.2314416756273916,2.0,4.309047031494854,0,1,0,1,0
9.723272050095268,5.798448198032163,,4.0,5.315524735851309,0,1,0,3,0
7.709760490789751,7.019755822596074,4.352430804483185,5.0,9.393842908199419,0,1,1,2,0
9.722791211016828,,4.430794969182341,2.0,3.0,1,1,1,1,0
12.076073132931938,7.215561240834682,4.972261443612435,4.0,6.626360767087528,1,0,0,4,0
8.928347921780096,6.615232836590383,,,3.4229219959383204,1,1,1,2,0
12.129287311628012,4.575511663717146,2.894631414811191,2.0,,1,0,0,5,1
4.0,7.99440022917071,1.2646962091312997,4.0,6.2529497774269895,1,1,1,2,0
10.643805008750448,5.759365125258031,,1.0,6.1043890552312305,0,1,0,4,0
,4.165127152010373,3.731542299542283,1.0,5.619346869718479,1,0,0,2,0
8.401985299068265,,4.907768874337632,0.0,4.2571408759279645,1,0,0,1,0
9.183521553071005,8.751139685951467,2.221107448638001,3.0,12.729778167046716,0,1,0,2,0
5.024862170798214,,1.5996214702971767,3.0,11.668655010403377,1,0,1,3,0
8.560656224324976,5.977021798388211,,4.0,4.094835449359293,0,1,1,4,0
